shopee,Running,Asics,ASICS Women GEL-KAYANO 29 Running Shoes in Frosted Rose/Deep Mars,"10%Coins Cashback, 5%OFF",$259.00 ,$181.30 ,11,https://shopee.sg/ASICS-Women-GEL-KAYANO-29-Running-Shoes-in-Frosted-Rose-Deep-Mars-i.455553838.23618105818?sp_atk=993aa400-fb6c-4d07-b4db-acd4e07495e0&xptdk=993aa400-fb6c-4d07-b4db-acd4e07495e0,https://down-sg.img.susercontent.com/file/sg-11134207-23010-dexczx2yi8lvaa,No product description available.,03-08-23
shopee,Running,Asics,ASICS Women GEL-EXCITE 9 Running Shoes in Piedmont Grey/Sea Glass,"10%Coins Cashback, 5%OFF",$109.00 ,$76.30 ,11,https://shopee.sg/ASICS-Women-GEL-EXCITE-9-Running-Shoes-in-Piedmont-Grey-Sea-Glass-i.455553838.21057030936?sp_atk=cb9279df-4d7b-448f-8dc7-446c4df67c52&xptdk=cb9279df-4d7b-448f-8dc7-446c4df67c52,https://down-sg.img.susercontent.com/file/sg-11134201-22100-a89bpybln1ivcc,No product description available.,03-08-23
shopee,Running,Asics,ASICS Men GEL-KAYANO 28 Running Shoes in Black/Hazard Green,"10%Coins Cashback, 5%OFF",$259.00 ,$155.40 ,11,https://shopee.sg/ASICS-Men-GEL-KAYANO-28-Running-Shoes-in-Black-Hazard-Green-i.455553838.19304649216?sp_atk=d8d8c3d9-77b7-4548-9627-5a6a8e8b7e52&xptdk=d8d8c3d9-77b7-4548-9627-5a6a8e8b7e52,https://down-sg.img.susercontent.com/file/e645d259fa1ba994011925de726b3731,No product description available.,03-08-23
shopee,Running,Asics,ASICS Women GEL-KAYANO 28 Running Shoes in Black/Sage,"10%Coins Cashback, 5%OFF",$259.00 ,$155.40 ,10,https://shopee.sg/ASICS-Women-GEL-KAYANO-28-Running-Shoes-in-Black-Sage-i.455553838.18919345500?sp_atk=6aaa4f23-f068-4fbb-81da-46ad0c33e280&xptdk=6aaa4f23-f068-4fbb-81da-46ad0c33e280,https://down-sg.img.susercontent.com/file/9b9f88d44879672bbc4a2e0571aa7413,No product description available.,03-08-23
shopee,Running,Adidas,adidas Running EQ19 Run Shoes Men White H68091,$5 OFF,$99.00 ,$69.30 ,10,https://shopee.sg/adidas-Running-EQ19-Run-Shoes-Men-White-H68091-i.265436651.20548032289?sp_atk=9c0b9456-6b41-495f-97f1-6279114f7b26&xptdk=9c0b9456-6b41-495f-97f1-6279114f7b26,https://down-sg.img.susercontent.com/file/sg-11134201-7qvds-ljy1k8rssxisc2,No product description available.,03-08-23
shopee,Running,Puma,PUMA Unisex INTERFLEX Running Shoes,30%OFF,$89.00 ,$63.00 ,9,https://shopee.sg/PUMA-Unisex-INTERFLEX-Running-Shoes-i.341363989.3365335491?sp_atk=1184db8d-a149-41e0-ae99-ccd2cc34f419&xptdk=1184db8d-a149-41e0-ae99-ccd2cc34f419,https://down-sg.img.susercontent.com/file/00ccf149235ae9d2546e5e74d37c2472,No product description available.,03-08-23
shopee,Running,Under Armour,Under Armour UA Women's Charged Pursuit3 Running Shoes,"12%OFF, 10%OFF, 10%OFF",No Price Reduction,$79.00 ,9,https://shopee.sg/Under-Armour-UA-Women's-Charged-Pursuit3-Running-Shoes-i.252648730.20987984275?sp_atk=72684477-6d7a-41fa-aca5-551ccde5f13e&xptdk=72684477-6d7a-41fa-aca5-551ccde5f13e,https://down-sg.img.susercontent.com/file/sg-11134201-7qvf2-livgk2neiqof7a,No product description available.,03-08-23
shopee,Running,Asics,ASICS Men NOVABLAST 3 Running Shoes in Electric Blue/Black,"10%Coins Cashback, 5%OFF",$199.00 ,$139.30 ,10,https://shopee.sg/ASICS-Men-NOVABLAST-3-Running-Shoes-in-Electric-Blue-Black-i.455553838.20879135807?sp_atk=f20b7feb-af3d-4912-9048-d852e7899b76&xptdk=f20b7feb-af3d-4912-9048-d852e7899b76,https://down-sg.img.susercontent.com/file/sg-11134207-7qvfs-lfzmbwxjmpit9d,No product description available.,03-08-23
shopee,Running,Asics,ASICS Men DYNABLAST 2 Running Shoes in Lake Drive/Hazard Green,NA,$149.00 ,$74.50 - $149.00,9,https://shopee.sg/ASICS-Men-DYNABLAST-2-Running-Shoes-in-Lake-Drive-Hazard-Green-i.455553838.17373339307?sp_atk=253a8534-2f1d-4c49-808f-9619bab0111f&xptdk=253a8534-2f1d-4c49-808f-9619bab0111f,https://down-sg.img.susercontent.com/file/bb2595fff226247a346746cd3a4900d4,No product description available.,03-08-23
shopee,Running,Adidas,adidas Running Puremotion Shoes Women Black H00589,$5 OFF,$100.00 ,$70.00 ,9,https://shopee.sg/adidas-Running-Puremotion-Shoes-Women-Black-H00589-i.265436651.10498038926?sp_atk=b24646a4-14d9-4afe-a3d4-a54aa852d45f&xptdk=b24646a4-14d9-4afe-a3d4-a54aa852d45f,https://down-sg.img.susercontent.com/file/sg-11134201-7qvdt-ljrtv0r1sjrm39,No product description available.,03-08-23
